City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
289,289,Chandbali,20.7833,86.7667,81.86,75,5,2.53,IN,2021-10-10 16:20:12,clear sky
291,291,Harper,4.375,-7.7169,80.67,78,100,8.14,LR,2021-10-10 16:29:20,overcast clouds
295,295,Paka,4.6374,103.4368,76.93,88,89,1.14,MY,2021-10-10 16:20:13,moderate rain
298,298,Nandyal,15.4833,78.4833,77.05,85,94,2.01,IN,2021-10-10 16:20:14,overcast clouds
307,307,Ponta Do Sol,32.6667,-17.1,77.72,69,7,2.53,PT,2021-10-10 16:29:23,clear sky
312,312,Vanimo,-2.6741,141.3028,79.57,89,93,5.08,PG,2021-10-10 16:20:00,overcast clouds
317,317,Yenagoa,4.9247,6.2642,83.26,75,93,4.45,NG,2021-10-10 16:20:19,light rain
320,320,Buala,-8.145,159.5921,78.84,84,73,2.95,SB,2021-10-10 16:29:25,broken clouds
321,321,Port Blair,11.6667,92.75,80.4,85,89,13.71,IN,2021-10-10 16:20:20,overcast clouds
325,325,Kasongo,-4.45,26.6667,77.72,67,96,5.97,CD,2021-10-10 16:20:21,overcast clouds
334,334,The Valley,18.217,-63.0578,89.46,62,20,20.71,AI,2021-10-10 16:20:24,few clouds
338,338,Bolobo,-2.1667,16.2333,77.83,88,100,4.09,CD,2021-10-10 16:20:25,light rain
341,341,Puerto Colombia,10.9878,-74.9547,86.09,77,100,7.45,CO,2021-10-10 16:20:26,overcast clouds
343,343,Bintulu,3.1667,113.0333,79.21,100,20,0.0,MY,2021-10-10 16:17:49,few clouds
345,345,Virar,19.4667,72.8,80.69,79,85,1.52,IN,2021-10-10 16:20:27,light rain
348,348,Dwarka,22.2394,68.9678,83.01,75,3,8.68,IN,2021-10-10 16:20:28,clear sky
349,349,Kavieng,-2.5744,150.7967,81.81,79,82,7.72,PG,2021-10-10 16:20:28,broken clouds
351,351,Pantai Remis,4.4557,100.6288,80.62,80,99,6.69,MY,2021-10-10 16:20:28,overcast clouds
354,354,Kavaratti,10.5669,72.642,82.15,81,99,10.71,IN,2021-10-10 16:20:29,overcast clouds
355,355,Caravelas,-17.7125,-39.2481,77.22,71,100,8.12,BR,2021-10-10 16:29:29,overcast clouds
359,359,Vicuna,-30.0319,-70.7081,76.77,18,0,7.96,CL,2021-10-10 16:20:30,clear sky
362,362,Santa Cruz,-17.8,-63.1667,89.06,55,75,2.3,BO,2021-10-10 16:20:31,broken clouds
363,363,Tamandare,-8.7597,-35.1047,84.13,56,83,8.21,BR,2021-10-10 16:20:32,broken clouds
367,367,Amahai,-3.3333,128.9167,78.62,87,70,2.42,ID,2021-10-10 16:20:33,broken clouds
370,370,Touros,-5.1989,-35.4608,88.7,55,61,15.39,BR,2021-10-10 16:20:34,broken clouds
372,372,Pitimbu,-7.4706,-34.8086,84.79,65,96,12.86,BR,2021-10-10 16:19:54,overcast clouds
374,374,Merauke,-8.4667,140.3333,77.58,87,81,11.59,ID,2021-10-10 16:20:35,broken clouds
375,375,Kloulklubed,7.0419,134.2556,77.5,74,93,13.0,PW,2021-10-10 16:20:35,light rain
378,378,Tonj,7.2737,28.6822,78.06,76,84,4.79,SS,2021-10-10 16:20:36,light rain
383,383,Zamania,25.4333,83.5667,77.83,67,0,1.97,IN,2021-10-10 16:20:38,clear sky
384,384,Quirinopolis,-18.4483,-50.4517,83.03,53,99,6.96,BR,2021-10-10 16:20:38,moderate rain
386,386,Bandarbeyla,9.4942,50.8122,79.97,82,63,22.37,SO,2021-10-10 16:19:55,broken clouds
389,389,Duki,30.1541,68.5728,75.29,17,0,7.65,PK,2021-10-10 16:20:40,clear sky
391,391,Dhidhdhoo,6.8833,73.1,82.35,80,40,17.2,MV,2021-10-10 16:29:34,scattered clouds
394,394,Kutum,14.2,24.6667,89.67,14,13,5.44,SD,2021-10-10 16:20:41,few clouds
395,395,Kollam,8.8833,76.6,80.47,86,95,6.08,IN,2021-10-10 16:20:41,heavy intensity rain
397,397,Bengkulu,-3.8004,102.2655,76.73,90,67,4.07,ID,2021-10-10 16:29:35,light rain
404,404,Vaitape,-16.5167,-151.75,79.3,72,65,11.27,PF,2021-10-10 16:20:43,broken clouds
405,405,Iberia,29.9502,-91.7507,84.96,65,40,10.36,US,2021-10-10 16:20:43,scattered clouds
406,406,Beinamar,8.6698,15.3813,77.49,86,100,11.45,TD,2021-10-10 16:20:44,heavy intensity rain
409,409,Tala,30.6803,30.9429,78.42,46,0,12.35,EG,2021-10-10 16:20:44,clear sky
412,412,Madimba,-10.4,40.3333,76.57,81,78,10.18,TZ,2021-10-10 16:20:45,broken clouds
414,414,Beruwala,6.4788,79.9828,79.41,87,95,8.88,LK,2021-10-10 16:20:46,overcast clouds
418,418,Naze,28.3667,129.4833,77.52,87,44,16.53,JP,2021-10-10 16:29:38,scattered clouds
423,423,Caluquembe,-13.7833,14.6833,85.33,24,95,7.05,AO,2021-10-10 16:20:48,overcast clouds
424,424,Wad Madani,14.4012,33.5199,79.27,75,91,20.13,SD,2021-10-10 16:16:09,overcast clouds
425,425,Moyobamba,-6.05,-76.9667,84.36,57,42,1.3,PE,2021-10-10 16:20:49,scattered clouds
429,429,Ixtapa,20.7,-105.2,88.23,83,75,4.61,MX,2021-10-10 16:19:40,broken clouds
434,434,Naugachhia,25.4,87.1,78.94,67,0,6.4,IN,2021-10-10 16:20:51,clear sky
441,441,Kuah,6.3265,99.8432,82.38,89,20,2.3,MY,2021-10-10 16:20:53,few clouds
442,442,Paraiso,9.8383,-83.8656,81.88,51,20,4.0,CR,2021-10-10 16:20:54,few clouds
443,443,Rangapara,26.8167,92.65,77.34,86,1,3.11,IN,2021-10-10 16:20:54,clear sky
445,445,Morro Agudo,-20.7314,-48.0578,77.02,75,98,7.45,BR,2021-10-10 16:20:55,overcast clouds
446,446,Palaikastron,35.2,26.25,75.74,69,0,4.32,GR,2021-10-10 16:20:55,clear sky
451,451,Estepa,37.2926,-4.879,79.02,38,56,14.79,ES,2021-10-10 16:20:56,broken clouds
452,452,Marsh Harbour,26.5412,-77.0636,81.3,65,40,3.29,BS,2021-10-10 16:20:57,scattered clouds
455,455,Oranjestad,12.524,-70.027,87.75,70,75,9.22,AW,2021-10-10 16:20:58,broken clouds
457,457,Rosetta,31.4044,30.4164,76.05,66,2,13.06,EG,2021-10-10 16:20:58,clear sky
