City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current_Description
77,Mercedes,-34.6515,-59.4307,71.78,48,81,11.81,AR,2021-10-10 16:19:09,broken clouds
78,Busselton,-33.65,115.3333,53.04,72,100,7.94,AU,2021-10-10 16:24:52,overcast clouds
79,Te Anau,-45.4167,167.7167,46.45,94,100,6.4,NZ,2021-10-10 16:28:52,light rain
80,Cape Town,-33.9258,18.4232,73.09,52,99,1.01,ZA,2021-10-10 16:15:01,overcast clouds
81,Ushuaia,-54.8,-68.3,49.66,32,20,20.71,AR,2021-10-10 16:18:52,few clouds
82,Ngunguru,-35.6167,174.5,49.15,88,19,7.38,NZ,2021-10-10 16:19:09,few clouds
83,Hasaki,35.7333,140.8333,66.6,71,23,15.41,JP,2021-10-10 16:19:10,few clouds
84,Valdemarpils,57.3707,22.5919,53.02,66,70,6.6,LV,2021-10-10 16:19:10,broken clouds
85,Asau,46.4333,26.4,47.75,53,34,3.2,RO,2021-10-10 16:19:10,scattered clouds
86,Alta Floresta,-9.8756,-56.0861,104.41,23,43,3.04,BR,2021-10-10 16:19:11,scattered clouds
87,Aalburg,51.7548,5.1316,61.95,75,0,1.99,NL,2021-10-10 16:19:11,clear sky
88,Hit,33.6416,42.8251,82.85,13,0,4.56,IQ,2021-10-10 16:28:53,clear sky
89,Goundam,16.4145,-3.6708,102.69,7,13,10.27,ML,2021-10-10 16:19:12,few clouds
90,Upernavik,72.7868,-56.1549,32.2,98,100,10.0,GL,2021-10-10 16:19:12,snow
91,Mar Del Plata,-38.0023,-57.5575,62.62,27,20,14.0,AR,2021-10-10 16:17:32,few clouds
92,Shingu,33.7333,135.9833,68.76,91,8,5.1,JP,2021-10-10 16:19:12,clear sky
93,Waipawa,-41.4122,175.5153,52.03,85,0,4.63,NZ,2021-10-10 16:19:13,clear sky
94,Teya,60.3778,92.6267,28.06,90,85,6.76,RU,2021-10-10 16:19:13,overcast clouds
95,Kodiak,57.79,-152.4072,45.91,46,1,12.66,US,2021-10-10 16:19:13,clear sky
96,Komsomolskiy,40.4272,71.7189,50.72,71,96,4.61,UZ,2021-10-10 16:19:14,overcast clouds
97,Katsuura,35.1333,140.3,73.51,68,75,12.39,JP,2021-10-10 16:19:14,broken clouds
98,Ahipara,-35.1667,173.1667,52.57,80,75,4.29,NZ,2021-10-10 16:19:14,broken clouds
99,Coxim,-18.5067,-54.76,88.2,50,99,7.61,BR,2021-10-10 16:19:15,overcast clouds
100,Rocha,-34.4833,-54.3333,65.14,64,76,15.43,UY,2021-10-10 16:19:15,broken clouds
101,Taoudenni,22.6783,-3.9836,105.46,6,85,4.16,ML,2021-10-10 16:19:15,overcast clouds
102,Mandalgovi,45.7625,106.2708,37.85,36,0,9.13,MN,2021-10-10 16:19:16,clear sky
103,Norman Wells,65.282,-126.8329,32.04,93,90,10.36,CA,2021-10-10 16:28:55,light snow
104,Portland,45.5234,-122.6762,54.45,93,75,1.01,US,2021-10-10 16:14:33,broken clouds
105,Velke Karlovice,49.3606,18.2836,47.37,67,93,2.93,CZ,2021-10-10 16:19:16,overcast clouds
106,Seymour,38.9592,-85.8903,79.65,71,100,5.01,US,2021-10-10 16:16:12,overcast clouds
107,Jamestown,42.097,-79.2353,71.19,73,1,8.01,US,2021-10-10 16:17:32,clear sky
108,Xining,36.6167,101.7667,41.85,71,88,1.48,CN,2021-10-10 16:19:17,overcast clouds
109,Hermanus,-34.4187,19.2345,71.8,62,99,2.24,ZA,2021-10-10 16:18:56,overcast clouds
110,Sinnamary,5.3833,-52.95,86.32,64,97,10.25,GF,2021-10-10 16:19:17,overcast clouds
111,Narsaq,60.9167,-46.05,35.82,34,42,2.84,GL,2021-10-10 16:19:18,scattered clouds
112,Canutama,-6.5339,-64.3831,101.25,31,88,3.29,BR,2021-10-10 16:19:18,overcast clouds
113,Klaksvik,62.2266,-6.589,43.72,85,79,27.89,FO,2021-10-10 16:19:18,broken clouds
114,Isangel,-19.55,169.2667,69.82,83,31,11.01,VU,2021-10-10 16:28:56,scattered clouds
115,Nioro,13.35,-15.75,92.39,48,89,5.39,GM,2021-10-10 16:19:19,overcast clouds
116,Yaan,7.3833,8.5667,81.82,75,83,6.35,NG,2021-10-10 16:19:19,broken clouds
117,Broome,42.2506,-75.833,68.54,68,90,3.0,US,2021-10-10 16:28:57,overcast clouds
118,Ostersund,63.1792,14.6357,46.85,100,75,16.11,SE,2021-10-10 16:19:20,moderate rain
119,Umm Lajj,25.0213,37.2685,84.99,70,16,7.83,SA,2021-10-10 16:19:00,few clouds
120,Vaini,-21.2,-175.2,69.96,100,40,3.44,TO,2021-10-10 16:19:00,light rain
121,Hobart,-42.8794,147.3294,41.05,79,27,1.01,AU,2021-10-10 16:28:58,scattered clouds
122,Northam,51.0333,-4.2167,65.82,80,61,12.8,GB,2021-10-10 16:19:20,broken clouds
123,Vuktyl,63.8567,57.3094,32.0,62,100,6.46,RU,2021-10-10 16:19:21,overcast clouds
124,Charlottetown,46.2352,-63.1267,61.56,61,75,5.01,CA,2021-10-10 16:15:39,broken clouds
125,Luderitz,-26.6481,15.1594,78.15,35,4,12.35,NA,2021-10-10 16:19:21,clear sky
126,Barrow,71.2906,-156.7887,28.42,86,90,11.5,US,2021-10-10 16:28:58,mist
127,Bambous Virieux,-20.3428,57.7575,73.22,94,75,3.44,MU,2021-10-10 16:19:18,light rain
128,Quatre Cocos,-20.2078,57.7625,73.09,88,77,13.22,MU,2021-10-10 16:19:19,light rain
129,Anloga,5.7947,0.8973,81.97,76,51,12.82,GH,2021-10-10 16:19:22,broken clouds
130,San Patricio,28.017,-97.5169,88.21,59,12,20.47,US,2021-10-10 16:19:22,few clouds
131,Porto De Moz,-1.7483,-52.2383,97.41,36,95,4.16,BR,2021-10-10 16:19:22,overcast clouds
132,Lebu,-37.6167,-73.65,55.76,71,94,3.47,CL,2021-10-10 16:19:12,overcast clouds
133,Bluff,-46.6,168.3333,55.8,65,100,17.81,NZ,2021-10-10 16:19:23,moderate rain
134,Namatanai,-3.6667,152.4333,79.39,78,28,4.23,PG,2021-10-10 16:19:23,scattered clouds
135,Peru,40.7537,-86.0689,79.61,72,40,13.8,US,2021-10-10 16:19:23,scattered clouds
136,Khatanga,71.9667,102.5,17.1,96,100,5.3,RU,2021-10-10 16:19:21,overcast clouds
137,Miraflores,19.2167,-98.8083,70.03,58,36,2.64,MX,2021-10-10 16:19:24,scattered clouds
138,Poum,-20.2333,164.0167,73.29,65,3,20.92,NC,2021-10-10 16:29:00,clear sky
139,Sroda Wielkopolska,52.2284,17.2762,53.73,49,0,6.02,PL,2021-10-10 16:19:24,clear sky
140,Saint-Philippe,-21.3585,55.7679,72.99,84,27,8.68,RE,2021-10-10 16:29:00,scattered clouds
